Обозначение;Заглавие на русском языке;Статус;Код ОКС
ГОСТ Р 1.1-2020;Стандартизация в Российской Федерации. Технические комитеты по стандартизации и проектные технические комитеты по стандартизации. Правила создания и деятельности;Действует;01.120
ГОСТ Р 1.2-2020;Стандартизация в Российской Федерации. Стандарты национальные Российской Федерации. Правила разработки, утверждения, обновления, внесения поправок и отмены;Действует;01.120
ГОСТ Р 1.3-2018;Стандартизация в Российской Федерации. Технические условия на продукцию. Общие требования к содержанию, оформлению, обозначению и обновлению;Действует;01.120
ГОСТ Р 1.4-2004;Стандартизация в Российской Федерации. Стандарты организаций. Общие положения;Действует;01.120
ГОСТ Р 1.5-2012;Стандартизация в Российской Федерации. Стандарты национальные. Правила построения, изложения, оформления и обозначения;Действует;01.120
ГОСТ Р 1.6-2013;Стандартизация в Российской Федерации. Проекты стандартов. Правила организации и проведения экспертизы;Действует;01.120
ГОСТ Р 1.7-2014;Стандартизация в Российской Федерации. Стандарты национальные. Правила оформления и обозначения при разработке на основе применения международных стандартов;Действует;01.120
ГОСТ Р 1.8-2011;Стандартизация в Российской Федерации. Стандарты межгосударственные. Правила проведения в Российской Федерации работ по разработке, применению, обновлению и прекращению применения;Действует;01.120
ГОСТ Р 1.9-2004;Стандартизация в Российской Федерации. Знак соответствия национальным стандартам Российской Федерации. Изображение. Порядок применения;Действует;01.120
ГОСТ Р 1.10-2004;Стандартизация в Российской Федерации. Правила стандартизации и рекомендации по стандартизации. Порядок разработки, утверждения, изменения, пересмотра и отмены;Действует;01.120
ГОСТ Р 1.12-2020;Стандартизация в Российской Федерации. Термины и определения;Действует;"01.040.01;01.120"
ГОСТ Р 1.13-2004;Стандартизация в Российской Федерации. Уведомления о проектах документов в области стандартизации. Общие требования;Действует;01.120
ГОСТ Р 1.14-2017;Стандартизация в Российской Федерации. Программа национальной стандартизации. Требования к структуре, правила формирования, утверждения и контроля за реализацией;Действует;01.120
ГОСТ Р 1.15-2017;Стандартизация в Российской Федерации. Службы стандартизации в организациях. Правила создания и функционирования;Действует;"01.120;03.100.30"
ГОСТ Р 1.16-2011;Стандартизация в Российской Федерации. Стандарты национальные предварительные. Правила разработки, утверждения, применения и отмены;Действует;01.120
ГОСТ Р 1.17-2017;Стандартизация в Российской Федерации. Эксперт по стандартизации. Общие требования;Действует;"01.120;03.100.30"
ГОСТ Р 1.18-2018;Стандартизация в Российской Федерации. Реестр технических условий. Правила формирования, ведения и получения информации;Действует;01.140.30
