name,full_name,unit,kind,label,type_hint,okved_code,hs_code
Смартфон Adidas 2368,"Смартфон Adidas 2368, реальный товар",м,Электроника,Товар,Товар,14.12,8417.10.100
Холодильник Samsung 9266,"Холодильник Samsung 9266, реальный товар",м,Бытовая техника,Товар,Товар,10.51,8493.14.100
Тренировка в фитнесе Студия,"Тренировка в фитнесе, предоставляется компанией Студия",услуга,Образование,Услуга,Услуга,49.41,
Ноутбук Bosch 4736,"Ноутбук Bosch 4736, реальный товар",шт,Электроника,Товар,Товар,14.12,8421.13.100
Уборка помещения Сервис,"Уборка помещения, предоставляется компанией Сервис",курс,Образование,Услуга,Услуга,62.01,
Кроссовки LG 4573,"Кроссовки LG 4573, реальный товар",шт,Обувь,Товар,Товар,27.51,8480.45.100
Колбаса Nike 6984,"Колбаса Nike 6984, реальный товар",кг,Продукты,Товар,Товар,15.29,8461.36.100
Окраска объект 17,Окраска стен и потолков объект 17,м²,Отделочные работы,Работа,Работа,43.34,
Консультация адвоката ПРО,"Консультация адвоката, предоставляется компанией ПРО",курс,Красота,Услуга,Услуга,96.04,
Установка окна Центр,"Установка окна, предоставляется компанией Центр",час,ИТ услуги,Услуга,Услуга,74.10,
Ремонт техники ПРО,"Ремонт техники, предоставляется компанией ПРО",услуга,Логистика,Услуга,Услуга,85.41,
Тренировка в фитнесе Студия,"Тренировка в фитнесе, предоставляется компанией Студия",услуга,Образование,Услуга,Услуга,85.41,
Кроссовки LG 5083,"Кроссовки LG 5083, реальный товар",шт,Обувь,Товар,Товар,14.12,8450.43.100
Колбаса LG 3395,"Колбаса LG 3395, реальный товар",л,Продукты,Товар,Товар,14.12,8431.28.100
Косметический уход ПРО,"Косметический уход, предоставляется компанией ПРО",час,Логистика,Услуга,Услуга,49.41,
Обучение языку Сервис,"Обучение языку, предоставляется компанией Сервис",час,Образование,Услуга,Услуга,85.41,
Холодильник Bosch 8015,"Холодильник Bosch 8015, реальный товар",м,Бытовая техника,Товар,Товар,10.51,8445.79.100
Установка окна Сервис,"Установка окна, предоставляется компанией Сервис",курс,ИТ услуги,Услуга,Услуга,85.41,
Установка окна Сервис,"Установка окна, предоставляется компанией Сервис",услуга,ИТ услуги,Услуга,Услуга,74.10,
Обучение языку Центр,"Обучение языку, предоставляется компанией Центр",курс,ИТ услуги,Услуга,Услуга,85.41,
Ботинки Bosch 7041,"Ботинки Bosch 7041, реальный товар",кг,Обувь,Товар,Товар,15.29,8411.96.100
Футболка Bosch 1480,"Футболка Bosch 1480, реальный товар",м,Одежда,Товар,Товар,15.29,8425.55.100
Графический дизайн Студия,"Графический дизайн, предоставляется компанией Студия",месяц,Образование,Услуга,Услуга,49.41,
Саморезы Bosch 9189,"Саморезы Bosch 9189, реальный товар",кг,Материалы,Товар,Товар,26.30,8498.68.100
Холодильник Danone 8073,"Холодильник Danone 8073, реальный товар",л,Бытовая техника,Товар,Товар,26.30,8484.94.100
Сыр LG 8062,"Сыр LG 8062, реальный товар",л,Продукты,Товар,Товар,27.51,8477.40.100
Косметический уход Студия,"Косметический уход, предоставляется компанией Студия",услуга,Образование,Услуга,Услуга,96.04,
Ремонт техники Сервис,"Ремонт техники, предоставляется компанией Сервис",час,Логистика,Услуга,Услуга,62.01,
Тренировка в фитнесе ПРО,"Тренировка в фитнесе, предоставляется компанией ПРО",час,Логистика,Услуга,Услуга,49.41,
Окраска объект 63,Окраска стен и потолков объект 63,м²,Отделочные работы,Работа,Работа,43.34,
Ящик картонный размер 10,Ящик картонный упаковочный размер 10,шт,Тара производственная,Тара,Тара,16.23,
Холодильник Danone 1252,"Холодильник Danone 1252, реальный товар",кг,Бытовая техника,Товар,Товар,27.51,8417.35.100
Кроссовки Adidas 1549,"Кроссовки Adidas 1549, реальный товар",м,Обувь,Товар,Товар,14.12,8480.14.100
Обучение языку ПРО,"Обучение языку, предоставляется компанией ПРО",курс,Образование,Услуга,Услуга,85.41,
Футболка LG 1480,"Футболка LG 1480, реальный товар",кг,Одежда,Товар,Товар,26.30,8496.17.100
Хлеб Bosch 6502,"Хлеб Bosch 6502, реальный товар",кг,Продукты,Товар,Товар,10.51,8451.68.100
Куртка Adidas 7204,"Куртка Adidas 7204, реальный товар",кг,Одежда,Товар,Товар,10.51,8486.10.100
Смартфон Bosch 9467,"Смартфон Bosch 9467, реальный товар",л,Электроника,Товар,Товар,26.30,8413.42.100
Монитор Adidas 5563,"Монитор Adidas 5563, реальный товар",шт,Электроника,Товар,Товар,27.51,8480.74.100
Ремонт техники Студия,"Ремонт техники, предоставляется компанией Студия",курс,Красота,Услуга,Услуга,85.41,
Консультация адвоката Сервис,"Консультация адвоката, предоставляется компанией Сервис",услуга,Красота,Услуга,Услуга,74.10,
Краска Bosch 8513,"Краска Bosch 8513, реальный товар",м,Материалы,Товар,Товар,10.51,8493.13.100
Холодильник Adidas 6289,"Холодильник Adidas 6289, реальный товар",шт,Бытовая техника,Товар,Товар,26.30,8442.19.100
Рубашка Bosch 7683,"Рубашка Bosch 7683, реальный товар",м,Одежда,Товар,Товар,15.29,8445.24.100
Тренировка в фитнесе Сервис,"Тренировка в фитнесе, предоставляется компанией Сервис",курс,Образование,Услуга,Услуга,62.01,
Ремонт техники Сервис,"Ремонт техники, предоставляется компанией Сервис",час,ИТ услуги,Услуга,Услуга,85.41,
Планшет Nike 6722,"Планшет Nike 6722, реальный товар",м,Электроника,Товар,Товар,14.12,8450.59.100
Доставка товаров Студия,"Доставка товаров, предоставляется компанией Студия",час,Логистика,Услуга,Услуга,74.10,
Молоко Bosch 3745,"Молоко Bosch 3745, реальный товар",шт,Продукты,Товар,Товар,10.51,8445.54.100
Установка окна Сервис,"Установка окна, предоставляется компанией Сервис",час,Образование,Услуга,Услуга,49.41,
Ящик картонный размер 22,Ящик картонный упаковочный размер 22,шт,Тара производственная,Тара,Тара,16.23,
Обучение языку ПРО,"Обучение языку, предоставляется компанией ПРО",курс,Образование,Услуга,Услуга,74.10,
Посудомоечная LG 9060,"Посудомоечная LG 9060, реальный товар",л,Бытовая техника,Товар,Товар,10.51,8462.22.100
